Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Description",B90CCC0D-FADC-9CDF-400A-F31BECB07132,106,,C30E57EE-E986-D2B9-F900-C96ACCFE4E8E,103,N,Domain,,,,,95F01105-1762-DCF3-FC81-11A6B560747C,5,LOGDT037,68,,,,,,,,,Y,"description",NVARCHAR,,,,,,,,"Todo",,,,3,4000,,,,
"email",037C8544-5419-58EE-4479-27D2BD9686BD,107,,EDBADE89-F192-7DA8-F7C4-B635D59164F9,104,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"User",,,,2,400,,,,
"firstName",38FC5EBA-3C69-EDFF-2E95-5EF051B13FD1,108,,EDBADE89-F192-7DA8-F7C4-B635D59164F9,104,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"User",,,,4,400,,,,
"id",1775B27B-BB6B-C0E8-BD2F-850C839F25F0,109,,C30E57EE-E986-D2B9-F900-C96ACCFE4E8E,103,Y,Domain,,,,,226ADBAC-7E5D-133A-D68E-D41F1758FB6C,21,LOGDT019,67,,,,,,,,,Y,"numeric_id",NUMERIC,,,,,,,,"Todo",P,,,1,,,,,
"id",F9C03731-E645-073C-FF80-168D3711D09F,110,,200B7B82-C4A8-CC82-439E-14ACCEC1B411,102,Y,Domain,,,,,226ADBAC-7E5D-133A-D68E-D41F1758FB6C,21,LOGDT019,67,,,,,,,,,Y,"numeric_id",NUMERIC,,,,,,,,"Category",P,,,1,,,,,
"id",F808B80B-161E-9DF1-1B33-89DF79A58B35,111,,EDBADE89-F192-7DA8-F7C4-B635D59164F9,104,Y,Domain,,,,,226ADBAC-7E5D-133A-D68E-D41F1758FB6C,21,LOGDT019,67,,,,,,,,,Y,"numeric_id",NUMERIC,,,,,,,,"User",P,,,1,,,,,
"lastName",28396107-4D68-46F3-0A40-9EED921908FC,112,,EDBADE89-F192-7DA8-F7C4-B635D59164F9,104,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"User",,,,5,400,,,,
"Name",4D6DE828-B013-6A38-A765-F84DB007996D,113,,C30E57EE-E986-D2B9-F900-C96ACCFE4E8E,103,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"Todo",,,,2,400,,,,
"Name",8A763C34-8F34-3FCD-39BC-52CA18966882,114,,200B7B82-C4A8-CC82-439E-14ACCEC1B411,102,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"Category",,,,2,400,,,,
"Status",37ABFDE8-73B6-7DAE-5B28-C1E6A2CAE2AD,115,,C30E57EE-E986-D2B9-F900-C96ACCFE4E8E,103,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"Todo",,,,4,400,,,,
"username",6BCCF568-EB81-BEF8-1914-19DFC02EE75B,116,,EDBADE89-F192-7DA8-F7C4-B635D59164F9,104,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"User",,,,3,400,,,,
"loginName",9FA9069F-90F1-1976-559F-DA84D93075A7,117,,80A6262D-BDB8-B88A-41BF-A96A998FAD1C,105,Y,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"UserLogin",,,,2,400,,,,
"loginPassword",B2E0C156-BB6F-76E1-6445-9D2605656448,118,,80A6262D-BDB8-B88A-41BF-A96A998FAD1C,105,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"UserLogin",,,,3,400,,,,
"token",7394702E-3538-A562-8F2B-B47183F7AA12,119,,80A6262D-BDB8-B88A-41BF-A96A998FAD1C,105,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"UserLogin",,,,4,400,,,,
"loginType",636CBAD6-4ABA-6DB9-AA35-3B21D533A2E3,120,,80A6262D-BDB8-B88A-41BF-A96A998FAD1C,105,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"UserLogin",,,,5,400,,,,
"User_id",19122C5C-3920-04B9-3D9F-055E8DB26F15,121,,80A6262D-BDB8-B88A-41BF-A96A998FAD1C,105,Y,Domain,,,,,226ADBAC-7E5D-133A-D68E-D41F1758FB6C,21,LOGDT019,67,,,,,,,,,Y,"numeric_id",NUMERIC,,,,,,4586EC74-BD4F-659C-1A4F-CBAE4A0D9487,132,"UserLogin",,F,"User-hasMany-UserLogins",6,,,,,
"id",D241EA82-31E1-65BF-8C74-369DC8F32530,122,,80A6262D-BDB8-B88A-41BF-A96A998FAD1C,105,Y,Domain,,,,,226ADBAC-7E5D-133A-D68E-D41F1758FB6C,21,LOGDT019,67,,,,,,,,,Y,"numeric_id",NUMERIC,,,,,,,,"UserLogin",P,,,1,,,,,
"Category_id",3CD4D495-6D7C-3F51-A51D-7A79129954B4,123,,C30E57EE-E986-D2B9-F900-C96ACCFE4E8E,103,Y,Domain,,,,,226ADBAC-7E5D-133A-D68E-D41F1758FB6C,21,LOGDT019,67,,,,,,,,,Y,"numeric_id",NUMERIC,,,,,,4A172F6D-E5B0-8277-D502-E9B23C7D2EB2,130,"Todo",,F,"Category-hasMany-Todos",5,,,,,
"User_id",0121494F-6FDF-061C-9333-B2A51DACCB8A,124,,C30E57EE-E986-D2B9-F900-C96ACCFE4E8E,103,Y,Domain,,,,,226ADBAC-7E5D-133A-D68E-D41F1758FB6C,21,LOGDT019,67,,,,,,,,,Y,"numeric_id",NUMERIC,,,,,,C1FD90DA-D894-6C97-5D2F-A7C4D0310BDF,131,"Todo",,F,"User-hasMany-Todos",6,,,,,
